#SimpleGazeTrackerDataFile
#TRACKER_VERSION,0.11.1
#DATAFORMAT,T,X,Y,P
#RECORDED_EYE,L
#SCREEN_ORIGIN,BottomLeft
#TRACKER_ORIGIN,BottomLeft
#SCREEN_WIDTH,1024
#SCREEN_HEIGHT,768
#DOTS_PER_CENTIMETER_H,24.26
#DOTS_PER_CENTIMETER_V,24.26
#VIEWING_DISTANCE,57.29577951308232
#SACCADE_VELOCITY_THRESHOLD,20.0
#SACCADE_ACCELERATION_THRESHOLD,3800.0
#SACCADE_MINIMUM_DURATION,12
#SACCADE_MINIMUM_AMPLITUDE,0.2
#FIXATION_MINIMUM_DURATION,12
#BLINK_MINIMUM_DURATION,50
#RESAMPLING,0
#FILTER_TYPE,identity
#FILTER_WN,0.2
#FILTER_SIZE,5
#FILTER_ORDER,3
#START_REC,2022,3,10,12,23,37
#MESSAGE,0,starting task
2882.460,-176.2,-23.8,852.6
2896.751,-198.4,-28.6,848.7
2910.790,-177.3,-12.9,851.0
2924.349,-171.1,-13.4,855.1
2937.527,-171.9,-3.9,855.9
2951.424,-169.2,2.4,858.0
2964.544,-197.7,-3.5,859.0
2977.695,-175.4,-5.6,864.6
2990.829,-176.7,-2.6,866.3
3003.826,-201.9,-12.1,870.8
3016.621,-177.1,3.9,871.3
3029.498,-178.0,9.2,875.9
3042.027,-169.2,18.1,878.5
3054.931,-168.4,46.1,885.9
3072.770,-147.9,44.0,888.3
3087.787,-145.7,38.8,893.6
3100.623,-135.8,32.1,899.2
3113.108,-141.8,27.9,903.4
3125.164,-144.8,23.5,907.3
3137.030,-152.0,5.1,906.4
3148.795,-144.7,10.6,914.3
3160.852,-156.5,3.5,920.9
3172.074,-154.9,13.8,923.1
3183.252,-156.0,18.0,928.4
3194.397,-142.0,17.7,930.4
3205.647,-137.0,20.6,934.2
3216.218,-125.0,21.4,935.5
3227.158,-124.5,23.3,944.7
3237.659,-123.6,20.2,947.3
3248.291,-117.0,16.9,949.9
3258.832,-110.2,15.8,955.5
3269.801,-101.5,19.4,956.3
3280.379,-102.4,20.4,964.4
3290.872,-96.9,23.9,968.2
3301.426,-95.7,20.8,972.0
3311.648,-95.6,17.0,977.5
3322.306,-113.4,23.3,985.5
3332.358,-110.0,34.3,988.2
3342.794,-108.0,28.0,991.7
3353.617,-106.6,38.0,999.2
3363.898,-107.0,46.3,1005.5
3375.535,-108.4,56.4,1014.5
3388.218,-110.5,60.2,1021.4
3404.398,-109.1,72.4,1034.1
3416.057,-116.4,50.7,1043.5
3425.595,-107.3,68.0,1044.7
3435.038,-111.5,75.1,1052.3
3444.785,-112.0,82.7,1063.3
3459.498,-104.8,88.5,1070.3
3470.701,-107.5,87.5,1073.8
3480.148,-109.1,74.6,1082.4
3489.414,-125.5,47.4,1089.9
3498.589,-122.2,47.8,1087.2
3507.885,-136.2,42.2,1100.0
3517.239,-139.9,37.1,1109.1
3526.324,-141.7,43.5,1114.6
3535.822,-153.7,40.7,1123.5
3545.026,-142.7,38.5,1128.6
3554.303,-156.5,27.5,1134.2
3563.569,-155.6,20.5,1143.6
3572.521,-141.7,25.6,1147.2
3581.741,-183.5,3.8,1156.8
3590.873,-248.6,5.6,1165.5
3599.763,-227.5,20.2,1173.6
3608.545,-249.5,-10.5,1176.8
3617.396,-226.2,13.7,1182.7
3626.001,-250.4,-14.6,1188.0
3634.594,-217.2,13.4,1194.4
3643.511,-214.2,18.7,1198.0
3652.385,-227.5,4.0,1199.1
3661.107,-214.8,19.7,1205.4
3669.731,-220.6,10.0,1207.8
3678.248,-206.0,29.4,1208.8
3686.651,-205.2,24.6,1216.3
3695.889,-192.5,35.0,1217.8
3704.514,-189.0,38.3,1221.9
3713.839,-184.3,29.3,1224.6
3722.879,-193.0,34.5,1227.6
3731.938,-194.1,35.7,1232.7
3740.798,-198.9,42.2,1234.1
3749.419,-193.0,44.8,1241.8
3758.325,-198.3,43.9,1241.2
3767.031,-227.9,38.2,1250.2
3776.579,-166.0,35.9,1261.0
3785.895,-154.9,43.1,1250.3
3794.834,-21.9,35.7,1245.4
3803.493,-5.6,35.3,1246.4
3812.620,-10.0,32.9,1254.1
3821.445,-1.2,30.9,1258.4
3830.637,-10.6,26.5,1258.6
3839.423,-7.7,24.2,1259.3
3848.338,-8.8,12.2,1262.0
3857.341,1.7,9.2,1266.3
3866.393,3.2,21.8,1269.6
3875.725,12.7,0.4,1271.0
3884.369,6.3,13.8,1272.6
3893.103,7.2,-0.9,1262.9
3902.381,7.3,-11.5,1275.5
3911.767,7.1,11.8,1277.8
3920.769,20.6,-1.2,1268.8
3930.076,22.6,-6.4,1280.1
3939.362,7.0,17.9,1282.8
3948.788,6.5,16.8,1284.9
3958.536,27.9,-3.2,1282.2
3968.320,90.6,10.3,1285.6
3977.942,25.3,18.0,1295.5
3987.673,-136.1,36.3,1318.2
3997.656,MULTIPURKINJE,MULTIPURKINJE,FAIL
4007.956,-220.1,65.0,1318.9
4018.468,MULTIPURKINJE,MULTIPURKINJE,FAIL
4029.210,-218.2,65.0,1316.0
4039.573,-214.2,57.1,1318.9
4049.346,MULTIPURKINJE,MULTIPURKINJE,FAIL
4059.548,MULTIPURKINJE,MULTIPURKINJE,FAIL
4069.973,-214.7,63.3,1321.9
4080.076,-217.5,52.6,1327.8
4090.271,-217.3,55.2,1330.2
4100.619,-218.5,54.0,1334.5
4111.337,-219.6,55.2,1334.7
4121.290,-227.2,50.0,1337.2
4131.278,-229.9,54.1,1341.4
4141.130,-226.3,48.5,1342.5
4151.383,-221.7,44.2,1346.5
4161.708,-222.8,46.0,1348.5
4171.721,-222.8,43.2,1348.7
4181.771,-211.4,37.6,1350.0
4191.693,-197.4,38.8,1354.7
4201.387,-211.0,32.8,1353.9
4211.003,-278.8,46.3,1361.9
4220.748,-265.1,43.6,1360.8
4230.337,-248.1,30.6,1358.2
4240.026,-248.8,29.1,1361.6
4249.685,-275.6,41.2,1362.9
4258.920,-265.4,38.5,1362.6
4268.521,-273.7,31.1,1363.6
4277.930,-281.6,42.0,1364.0
4287.521,-279.5,36.5,1361.5
4297.443,-290.7,38.6,1370.7
4306.632,-288.4,44.6,1368.5
4315.834,-292.0,50.6,1372.1
4325.219,-295.9,56.4,1371.1
4334.430,-282.1,57.0,1376.1
4343.796,-289.2,58.4,1379.1
4353.425,-287.3,69.4,1377.8
4362.550,-287.4,58.3,1384.5
4371.638,-292.0,64.0,1384.6
4380.499,-283.0,79.9,1385.0
4389.532,-281.6,61.8,1388.6
4398.576,-278.1,72.9,1388.1
4407.910,-289.4,63.8,1388.7
4416.999,-285.0,51.8,1391.3
4426.155,-302.9,52.4,1391.6
4435.026,-326.0,49.4,1396.3
4443.777,-304.1,46.3,1403.5
4452.914,-324.6,51.7,1411.1
4461.573,-44.8,33.1,1369.6
4470.376,3.7,7.6,1353.6
4479.152,154.1,1.5,1346.2
4488.104,146.9,11.2,1360.2
4496.939,147.3,10.4,1351.1
4505.913,161.2,6.0,1350.3
4514.606,160.6,-8.1,1348.8
4523.382,168.0,4.8,1348.2
4531.701,163.2,-8.7,1349.4
4540.411,171.1,3.6,1347.7
4549.169,182.2,2.2,1345.8
4558.648,197.0,-3.1,1341.8
